,state,year,Factories
0,Bihar,2009,1775
1,Bihar,2010,1918
2,Bihar,2011,2805
3,Bihar,2012,3231
4,Chhattisgarh,2009,1919
5,Chhattisgarh,2010,1976
6,Chhattisgarh,2011,2358
7,Chhattisgarh,2012,2472
8,Goa,2009,519
9,Goa,2010,520
10,Goa,2011,583
11,Goa,2012,586
12,Gujarat,2009,14863
13,Gujarat,2010,15576
14,Gujarat,2011,21282
15,Gujarat,2012,22220
16,Haryana,2009,4450
17,Haryana,2010,4640
18,Haryana,2011,5967
19,Haryana,2012,6142
20,Himachal Pradesh,2009,1294
21,Himachal Pradesh,2010,1545
22,Himachal Pradesh,2011,2210
23,Himachal Pradesh,2012,2489
24,Jammu and Kashmir,2009,649
25,Jammu and Kashmir,2010,626
26,Jammu and Kashmir,2011,795
27,Jammu and Kashmir,2012,861
28,Jharkhand,2009,1846
29,Jharkhand,2010,2032
30,Jharkhand,2011,2504
31,Jharkhand,2012,2556
32,Karnataka,2009,8451
33,Karnataka,2010,8541
34,Karnataka,2011,10722
35,Karnataka,2012,11460
36,Kerala,2009,5867
37,Kerala,2010,5907
38,Kerala,2011,6917
39,Kerala,2012,7031
40,Madhya Pradesh,2009,3345
41,Madhya Pradesh,2010,3523
42,Madhya Pradesh,2011,4212
43,Madhya Pradesh,2012,4286
44,Maharashtra,2009,20450
45,Maharashtra,2010,19457
46,Maharashtra,2011,27892
47,Maharashtra,2012,28215
48,Manipur,2009,72
49,Manipur,2010,85
50,Manipur,2011,96
51,Manipur,2012,102
52,Meghalaya,2009,95
53,Meghalaya,2010,100
54,Meghalaya,2011,94
55,Meghalaya,2012,100
56,Nagaland,2009,91
57,Nagaland,2010,90
58,Nagaland,2011,84
59,Nagaland,2012,86
60,Odisha,2009,1930
61,Odisha,2010,2052
62,Odisha,2011,2536
63,Odisha,2012,2678
64,Punjab,2009,10065
65,Punjab,2010,10262
66,Punjab,2011,12770
67,Punjab,2012,12593
68,Rajasthan,2009,6352
69,Rajasthan,2010,6811
70,Rajasthan,2011,8172
71,Rajasthan,2012,8444
72,Sikkim,2009,NA
73,Sikkim,2010,46
74,Sikkim,2011,64
75,Sikkim,2012,61
76,Tamil Nadu,2009,26122
77,Tamil Nadu,2010,26790
78,Tamil Nadu,2011,36848
79,Tamil Nadu,2012,36996
80,Tripura,2009,363
81,Tripura,2010,407
82,Tripura,2011,472
83,Tripura,2012,446
84,UttaraKhand,2009,1907
85,UttaraKhand,2010,2344
86,UttaraKhand,2011,2739
87,UttaraKhand,2012,14090
88,Uttar Pradesh,2009,10935
89,Uttar Pradesh,2010,11015
90,Uttar Pradesh,2011,13756
91,Uttar Pradesh,2012,2843
92,West Bengal,2009,6260
93,West Bengal,2010,6818
94,West Bengal,2011,8232
95,West Bengal,2012,8402
96,A and N. Island,2009,12
97,A and N. Island,2010,13
98,A and N. Island,2011,17
99,A and N. Island,2012,18
100,Chandigarh,2009,278
101,Chandigarh,2010,284
102,Chandigarh,2011,308
103,Chandigarh,2012,308
104,Dadra and N Haveli,2009,1151
105,Dadra and N Haveli,2010,1103
106,Dadra and N Haveli,2011,1457
107,Dadra and N Haveli,2012,1480
108,Daman and Diu,2009,1443
109,Daman and Diu,2010,1447
110,Daman and Diu,2011,1940
111,Daman and Diu,2012,1950
112,Delhi,2009,3026
113,Delhi,2010,2878
114,Delhi,2011,3920
115,Delhi,2012,3849
116,Lakshadweep,2009,NA
117,Lakshadweep,2010,NA
118,Lakshadweep,2011,NA
119,Lakshadweep,2012,NA
